"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"254";"252";"2";"Участвуете в конкурсе";"1421563";"—"
"2";"1";"—";"208";"208";"0";"Участвуете в конкурсе";"2271291";"—"
"3";"1";"—";"198";"196";"2";"Участвуете в конкурсе";"2213081";"—"
"4";"5";"—";"261";"261";"0";"Участвуете в конкурсе";"1696986";"—"
"5";"4";"—";"248";"238";"10";"Участвуете в конкурсе";"1556116";"—"
"6";"2";"Электронное";"242";"237";"5";"Участвуете в конкурсе";"1031373";"—"
"7";"5";"—";"234";"234";"0";"Участвуете в конкурсе";"1437119";"—"
"8";"2";"Электронное";"226";"216";"10";"Участвуете в конкурсе";"2123716";"—"
"9";"2";"—";"224";"224";"0";"Участвуете в конкурсе";"1212881";"—"
"10";"2";"—";"222";"222";"0";"Участвуете в конкурсе";"1437361";"—"
"11";"6";"—";"219";"217";"2";"Участвуете в конкурсе";"1939618";"—"
"12";"3";"—";"217";"217";"0";"Участвуете в конкурсе";"2005993";"—"
"13";"9";"—";"207";"207";"0";"Участвуете в конкурсе";"2029267";"—"
"14";"4";"—";"202";"200";"2";"Участвуете в конкурсе";"2072009";"—"
"15";"13";"—";"199";"197";"2";"Участвуете в конкурсе";"1896953";"—"
"16";"3";"Электронное";"195";"193";"2";"Участвуете в конкурсе";"1998419";"—"
"17";"4";"—";"187";"187";"0";"Участвуете в конкурсе";"1503172";"—"
"18";"3";"—";"183";"183";"0";"Участвуете в конкурсе";"1317034";"—"
"19";"4";"—";"180";"180";"0";"Участвуете в конкурсе";"1195065";"—"
"20";"4";"—";"178";"173";"5";"Участвуете в конкурсе";"2331617";"—"
"21";"9";"—";"162";"162";"0";"Участвуете в конкурсе";"1103656";"—"
"22";"6";"—";"2";"0";"2";"Участвуете в конкурсе";"1130423";"—"
"23";"6";"—";"2";"0";"2";"Участвуете в конкурсе";"1344362";"—"
"24";"3";"—";"2";"0";"2";"Участвуете в конкурсе";"1447274";"—"
"25";"8";"—";"2";"0";"2";"Участвуете в конкурсе";"2267213";"—"
"26";"10";"—";"0";"0";"0";"Участвуете в конкурсе";"1606918";"—"
"27";"7";"—";"0";"0";"0";"Участвуете в конкурсе";"1619684";"—"
"28";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"1763897";"—"
"29";"6";"—";"269";"269";"0";"Участвуете в конкурсе";"1511773";"—"
"30";"4";"—";"260";"250";"10";"Участвуете в конкурсе";"1262561";"—"
"31";"10";"—";"249";"239";"10";"Участвуете в конкурсе";"1898535";"—"
"32";"3";"Электронное";"237";"227";"10";"Участвуете в конкурсе";"1718215";"—"
"33";"9";"—";"229";"219";"10";"Участвуете в конкурсе";"1323253";"—"
"34";"7";"—";"228";"218";"10";"Участвуете в конкурсе";"1568073";"—"
"35";"9";"—";"226";"226";"0";"Участвуете в конкурсе";"1513851";"—"
"36";"6";"—";"226";"226";"0";"Участвуете в конкурсе";"1716756";"—"
"37";"4";"—";"220";"218";"2";"Участвуете в конкурсе";"1603596";"—"
"38";"10";"—";"217";"212";"5";"Участвуете в конкурсе";"1681619";"—"
"39";"5";"—";"216";"216";"0";"Участвуете в конкурсе";"1546297";"—"
"40";"7";"—";"215";"215";"0";"Участвуете в конкурсе";"1851668";"—"
"41";"8";"—";"214";"204";"10";"Участвуете в конкурсе";"2370801";"—"
"42";"2";"—";"209";"209";"0";"Участвуете в конкурсе";"1321692";"—"
"43";"2";"—";"209";"206";"3";"Участвуете в конкурсе";"2234219";"—"
"44";"2";"—";"208";"206";"2";"Участвуете в конкурсе";"1076516";"—"
"45";"3";"—";"208";"206";"2";"Участвуете в конкурсе";"1570513";"—"
"46";"2";"—";"206";"206";"0";"Участвуете в конкурсе";"1209223";"—"
"47";"5";"Электронное";"206";"204";"2";"Участвуете в конкурсе";"1212962";"—"
"48";"7";"—";"203";"203";"0";"Участвуете в конкурсе";"1563768";"—"
"49";"12";"—";"203";"199";"4";"Участвуете в конкурсе";"1519920";"—"
"50";"3";"—";"202";"202";"0";"Участвуете в конкурсе";"1279460";"—"
"51";"4";"—";"202";"200";"2";"Участвуете в конкурсе";"2072009";"—"
"52";"5";"Электронное";"197";"195";"2";"Участвуете в конкурсе";"1615011";"—"
"53";"7";"—";"191";"191";"0";"Участвуете в конкурсе";"1093645";"—"
"54";"7";"—";"190";"190";"0";"Участвуете в конкурсе";"1435362";"—"
"55";"7";"—";"189";"189";"0";"Участвуете в конкурсе";"2230178";"—"
"56";"3";"—";"185";"183";"2";"Участвуете в конкурсе";"2203643";"—"
"57";"3";"—";"183";"183";"0";"Участвуете в конкурсе";"1317034";"—"
"58";"8";"—";"181";"181";"0";"Участвуете в конкурсе";"1608227";"—"
"59";"2";"—";"177";"177";"0";"Участвуете в конкурсе";"1322696";"—"
"60";"6";"Электронное";"177";"174";"3";"Участвуете в конкурсе";"2244927";"—"
"61";"2";"—";"166";"166";"0";"Участвуете в конкурсе";"2268023";"—"
"62";"8";"—";"159";"159";"0";"Участвуете в конкурсе";"2164566";"—"
"63";"5";"Электронное";"291";"291";"0";"Участвуете в конкурсе";"1692533";"—"
"64";"6";"—";"289";"279";"10";"Участвуете в конкурсе";"1287986";"—"
"65";"3";"—";"289";"279";"10";"Участвуете в конкурсе";"1263472";"—"
"66";"4";"—";"288";"278";"10";"Участвуете в конкурсе";"1387945";"—"
"67";"2";"—";"287";"285";"2";"Участвуете в конкурсе";"1267582";"—"
"1";"1";"Электронное";"286";"286";"0";"Участвуете в конкурсе";"1047278";"—"
"69";"5";"Электронное";"284";"274";"10";"Участвуете в конкурсе";"1003214";"—"
"70";"2";"—";"282";"272";"10";"Участвуете в конкурсе";"1709358";"—"
"71";"8";"—";"282";"272";"10";"Участвуете в конкурсе";"1511658";"—"
"72";"8";"—";"281";"281";"0";"Участвуете в конкурсе";"1239228";"—"
"73";"4";"Электронное";"281";"279";"2";"Участвуете в конкурсе";"1292699";"—"
"74";"3";"Электронное";"281";"271";"10";"Участвуете в конкурсе";"1541178";"—"
"75";"2";"Электронное";"280";"280";"0";"Участвуете в конкурсе";"1753219";"—"
"76";"3";"Электронное";"280";"270";"10";"Участвуете в конкурсе";"989186";"—"
"77";"3";"—";"280";"270";"10";"Участвуете в конкурсе";"2314999";"—"
"78";"2";"—";"279";"279";"0";"Участвуете в конкурсе";"1215587";"—"
"79";"3";"Электронное";"279";"269";"10";"Участвуете в конкурсе";"1585096";"—"
"80";"4";"—";"279";"269";"10";"Участвуете в конкурсе";"1287559";"—"
"81";"2";"—";"279";"269";"10";"Участвуете в конкурсе";"1364454";"—"
"82";"3";"—";"278";"268";"10";"Участвуете в конкурсе";"1619002";"—"
"83";"5";"—";"278";"268";"10";"Участвуете в конкурсе";"1794508";"—"
"84";"2";"—";"278";"268";"10";"Участвуете в конкурсе";"1567987";"—"
"85";"5";"—";"277";"277";"0";"Участвуете в конкурсе";"1323577";"—"
"86";"3";"Электронное";"277";"271";"6";"Участвуете в конкурсе";"1191555";"—"
"87";"4";"—";"277";"267";"10";"Участвуете в конкурсе";"1974080";"—"
"88";"3";"—";"277";"267";"10";"Участвуете в конкурсе";"1175409";"—"
"89";"4";"—";"275";"269";"6";"Участвуете в конкурсе";"1925793";"—"
"90";"3";"—";"275";"265";"10";"Участвуете в конкурсе";"1265281";"—"
"91";"4";"—";"275";"265";"10";"Участвуете в конкурсе";"1770649";"—"
"92";"3";"—";"274";"274";"0";"Участвуете в конкурсе";"1205043";"—"
"93";"3";"—";"274";"272";"2";"Участвуете в конкурсе";"1551311";"—"
"94";"7";"—";"274";"264";"10";"Участвуете в конкурсе";"1199034";"—"
"95";"3";"—";"274";"264";"10";"Участвуете в конкурсе";"1611716";"—"
"96";"2";"—";"274";"264";"10";"Участвуете в конкурсе";"1415165";"—"
"97";"2";"—";"273";"263";"10";"Участвуете в конкурсе";"1172082";"—"
"98";"10";"—";"273";"263";"10";"Участвуете в конкурсе";"1676891";"—"
"99";"11";"—";"272";"262";"10";"Участвуете в конкурсе";"2100292";"—"
"100";"5";"—";"271";"271";"0";"Участвуете в конкурсе";"1333554";"—"
"101";"7";"—";"271";"261";"10";"Участвуете в конкурсе";"1809132";"—"
"102";"9";"Электронное";"269";"269";"0";"Участвуете в конкурсе";"1941341";"—"
"103";"6";"—";"269";"269";"0";"Участвуете в конкурсе";"1511773";"—"
"104";"2";"—";"269";"259";"10";"Участвуете в конкурсе";"1379681";"—"
"105";"10";"—";"268";"258";"10";"Участвуете в конкурсе";"974558";"—"
"106";"3";"Электронное";"267";"267";"0";"Участвуете в конкурсе";"1711666";"—"
"107";"3";"—";"267";"267";"0";"Участвуете в конкурсе";"1169210";"—"
"108";"6";"—";"267";"267";"0";"Участвуете в конкурсе";"1954738";"—"
"109";"8";"Электронное";"267";"257";"10";"Участвуете в конкурсе";"1428672";"—"
"110";"1";"—";"267";"257";"10";"Участвуете в конкурсе";"1203630";"—"
"111";"4";"—";"267";"257";"10";"Участвуете в конкурсе";"1651512";"—"
"112";"5";"—";"267";"257";"10";"Участвуете в конкурсе";"2051853";"—"
"113";"2";"—";"265";"255";"10";"Участвуете в конкурсе";"1401159";"—"
"114";"5";"—";"265";"255";"10";"Участвуете в конкурсе";"1077226";"—"
"115";"5";"—";"265";"255";"10";"Участвуете в конкурсе";"2240036";"—"
"116";"3";"—";"264";"264";"0";"Участвуете в конкурсе";"1309843";"—"
"117";"7";"—";"264";"264";"0";"Участвуете в конкурсе";"1516265";"—"
"118";"4";"—";"264";"264";"0";"Участвуете в конкурсе";"1327500";"—"
"119";"6";"Электронное";"264";"254";"10";"Участвуете в конкурсе";"1614936";"—"
"120";"7";"—";"264";"254";"10";"Участвуете в конкурсе";"1360330";"—"
"121";"4";"—";"263";"253";"10";"Участвуете в конкурсе";"2240276";"—"
"122";"6";"Электронное";"263";"253";"10";"Участвуете в конкурсе";"1511130";"—"
"123";"7";"—";"263";"253";"10";"Участвуете в конкурсе";"1720448";"—"
"124";"6";"—";"262";"252";"10";"Участвуете в конкурсе";"1741731";"—"
"125";"3";"Электронное";"262";"252";"10";"Участвуете в конкурсе";"1343829";"—"
"126";"2";"Электронное";"261";"261";"0";"Участвуете в конкурсе";"2175413";"—"
"127";"5";"—";"261";"261";"0";"Участвуете в конкурсе";"1696986";"—"
"128";"4";"—";"260";"260";"0";"Участвуете в конкурсе";"1626001";"—"
"129";"9";"—";"260";"250";"10";"Участвуете в конкурсе";"1342948";"—"
"130";"4";"—";"260";"250";"10";"Участвуете в конкурсе";"1262561";"—"
"131";"5";"—";"260";"250";"10";"Участвуете в конкурсе";"1987261";"—"
"132";"6";"Электронное";"259";"259";"0";"Участвуете в конкурсе";"1399623";"—"
"133";"3";"—";"259";"259";"0";"Участвуете в конкурсе";"1292762";"—"
"134";"3";"—";"259";"257";"2";"Участвуете в конкурсе";"1445988";"—"
"135";"2";"—";"259";"249";"10";"Участвуете в конкурсе";"1066359";"—"
"136";"4";"—";"259";"249";"10";"Участвуете в конкурсе";"1882005";"—"
"137";"8";"—";"259";"249";"10";"Участвуете в конкурсе";"1814140";"—"
"138";"2";"—";"258";"258";"0";"Участвуете в конкурсе";"1041287";"—"
"139";"4";"—";"258";"256";"2";"Участвуете в конкурсе";"1257832";"—"
"140";"10";"—";"258";"256";"2";"Участвуете в конкурсе";"1765679";"—"
"141";"3";"—";"258";"256";"2";"Участвуете в конкурсе";"1434400";"—"
"142";"2";"—";"257";"247";"10";"Участвуете в конкурсе";"2316138";"—"
"143";"5";"—";"257";"247";"10";"Участвуете в конкурсе";"2310328";"—"
"144";"3";"Электронное";"257";"247";"10";"Участвуете в конкурсе";"1233824";"—"
"145";"2";"Электронное";"255";"255";"0";"Участвуете в конкурсе";"1791125";"—"
"146";"4";"—";"255";"245";"10";"Участвуете в конкурсе";"1201449";"—"
"147";"2";"Электронное";"255";"245";"10";"Участвуете в конкурсе";"1333664";"—"
"148";"4";"—";"255";"245";"10";"Участвуете в конкурсе";"1787612";"—"
"149";"2";"—";"254";"254";"0";"Участвуете в конкурсе";"1730031";"—"
"150";"1";"—";"254";"254";"0";"Участвуете в конкурсе";"1950663";"—"
"151";"3";"—";"254";"252";"2";"Участвуете в конкурсе";"1421563";"—"
"152";"8";"—";"254";"249";"5";"Участвуете в конкурсе";"2394071";"—"
"153";"3";"—";"254";"244";"10";"Участвуете в конкурсе";"1196896";"—"
"154";"3";"—";"254";"244";"10";"Участвуете в конкурсе";"1280578";"—"
"155";"4";"—";"254";"244";"10";"Участвуете в конкурсе";"1543884";"—"
"156";"3";"Электронное";"254";"244";"10";"Участвуете в конкурсе";"1729304";"—"
"157";"3";"—";"254";"244";"10";"Участвуете в конкурсе";"1998627";"—"
"158";"1";"—";"254";"244";"10";"Участвуете в конкурсе";"1733526";"—"
"159";"5";"—";"254";"244";"10";"Участвуете в конкурсе";"1242596";"—"
"160";"9";"—";"253";"253";"0";"Участвуете в конкурсе";"1442154";"—"
"161";"3";"—";"253";"250";"3";"Участвуете в конкурсе";"1714998";"—"
"162";"5";"—";"253";"248";"5";"Участвуете в конкурсе";"2076240";"—"
"163";"4";"—";"253";"243";"10";"Участвуете в конкурсе";"1876486";"—"
"164";"1";"—";"253";"243";"10";"Участвуете в конкурсе";"1515695";"—"
"165";"4";"—";"253";"243";"10";"Участвуете в конкурсе";"1793599";"—"
"166";"3";"—";"252";"250";"2";"Участвуете в конкурсе";"2052441";"—"
"167";"2";"Электронное";"252";"247";"5";"Участвуете в конкурсе";"956218";"—"
"168";"3";"—";"252";"242";"10";"Участвуете в конкурсе";"1464086";"—"
"169";"1";"—";"252";"242";"10";"Участвуете в конкурсе";"1703382";"—"
"170";"5";"—";"251";"251";"0";"Участвуете в конкурсе";"1998476";"—"
"171";"3";"—";"251";"241";"10";"Участвуете в конкурсе";"1231983";"—"
"172";"3";"—";"251";"241";"10";"Участвуете в конкурсе";"2212273";"—"
"173";"2";"—";"251";"241";"10";"Участвуете в конкурсе";"1605731";"—"
"174";"9";"—";"250";"240";"10";"Участвуете в конкурсе";"1419884";"—"
"175";"4";"—";"250";"240";"10";"Участвуете в конкурсе";"1158917";"—"
"176";"7";"—";"249";"249";"0";"Участвуете в конкурсе";"1999336";"—"
"177";"5";"—";"249";"249";"0";"Участвуете в конкурсе";"1787602";"—"
"178";"5";"—";"249";"239";"10";"Участвуете в конкурсе";"1857891";"—"
"179";"6";"—";"249";"239";"10";"Участвуете в конкурсе";"2090137";"—"
"180";"1";"—";"249";"239";"10";"Участвуете в конкурсе";"2129456";"—"
"181";"2";"—";"249";"239";"10";"Участвуете в конкурсе";"1292158";"—"
"182";"10";"—";"249";"239";"10";"Участвуете в конкурсе";"1898535";"—"
"183";"3";"Электронное";"248";"246";"2";"Участвуете в конкурсе";"1183106";"—"
"184";"4";"—";"248";"246";"2";"Участвуете в конкурсе";"1728585";"—"
"185";"7";"—";"248";"243";"5";"Участвуете в конкурсе";"2241067";"—"
"186";"5";"Электронное";"248";"238";"10";"Участвуете в конкурсе";"1164039";"—"
"187";"4";"—";"248";"238";"10";"Участвуете в конкурсе";"1883073";"—"
"188";"4";"—";"248";"238";"10";"Участвуете в конкурсе";"1556116";"—"
"189";"7";"Электронное";"247";"247";"0";"Участвуете в конкурсе";"1446053";"—"
"190";"3";"Электронное";"247";"244";"3";"Участвуете в конкурсе";"1344274";"—"
"191";"5";"—";"247";"242";"5";"Участвуете в конкурсе";"1237474";"—"
"192";"1";"—";"247";"237";"10";"Участвуете в конкурсе";"2184480";"—"
"193";"4";"Электронное";"247";"237";"10";"Участвуете в конкурсе";"1603928";"—"
"194";"4";"—";"247";"237";"10";"Участвуете в конкурсе";"1169528";"—"
