"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"305000";"95 100 100";"10000";"Участвует в конкурсе";"1260804";"—"
"2";"1";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"1633273";"—"
"3";"3";"—";"301000";"97 100 94";"10000";"Участвует в конкурсе";"2181239";"—"
"4";"2";"—";"301000";"96 98 97";"10000";"Участвует в конкурсе";"2175203";"—"
"5";"9";"—";"300000";"99 100 91";"10000";"Участвует в конкурсе";"1639884";"—"
"6";"4";"—";"299000";"97 98 94";"10000";"Участвует в конкурсе";"1497723";"—"
"7";"1";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"1360655";"—"
"8";"5";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"2001118";"—"
"9";"10";"—";"298000";"90 98 100";"10000";"Участвует в конкурсе";"1960374";"—"
"10";"3";"—";"297000";"100 98 89";"10000";"Участвует в конкурсе";"1540233";"—"
"11";"1";"—";"297000";"100 96 91";"10000";"Участвует в конкурсе";"1640535";"—"
"12";"8";"—";"297000";"95 98 94";"10000";"Участвует в конкурсе";"1352704";"—"
"14";"9";"—";"297000";"90 100 97";"10000";"Участвует в конкурсе";"1623781";"—"
"15";"1";"—";"296000";"100 92 94";"10000";"Участвует в конкурсе";"1626066";"—"
"16";"8";"—";"296000";"97 95 94";"10000";"Участвует в конкурсе";"1624934";"—"
"17";"3";"—";"295000";"98 98 89";"10000";"Участвует в конкурсе";"1883321";"—"
"18";"4";"Электронное";"295000";"98 90 97";"10000";"Участвует в конкурсе";"1618591";"—"
"19";"3";"—";"295000";"95 96 94";"10000";"Участвует в конкурсе";"1641311";"—"
"20";"1";"—";"295000";"95 93 97";"10000";"Участвует в конкурсе";"1489031";"—"
"21";"3";"—";"295000";"92 99 94";"10000";"Участвует в конкурсе";"1347528";"—"
"22";"5";"—";"294000";"95 98 91";"10000";"Участвует в конкурсе";"1601378";"—"
"23";"12";"—";"294000";"92 95 97";"10000";"Участвует в конкурсе";"1964954";"—"
"24";"11";"Электронное";"294000";"90 100 94";"10000";"Участвует в конкурсе";"1166134";"—"
"25";"1";"—";"293000";"100 100 83";"10000";"Участвует в конкурсе";"1623935";"—"
"26";"15";"—";"293000";"94 100 89";"10000";"Участвует в конкурсе";"1207984";"—"
"27";"3";"—";"293000";"92 100 91";"10000";"Участвует в конкурсе";"1829102";"—"
"28";"4";"—";"292000";"100 98 91";"3000";"Участвует в конкурсе";"2033286";"—"
"30";"6";"—";"292000";"98 84 100";"10000";"Участвует в конкурсе";"1656043";"—"
"31";"3";"—";"292000";"92 96 94";"10000";"Участвует в конкурсе";"1201633";"—"
"32";"11";"—";"292000";"90 98 94";"10000";"Участвует в конкурсе";"2367600";"—"
"33";"1";"—";"291000";"94 96 91";"10000";"Участвует в конкурсе";"1352336";"—"
"34";"1";"—";"291000";"92 100 89";"10000";"Участвует в конкурсе";"1570076";"—"
"35";"6";"—";"291000";"90 94 97";"10000";"Участвует в конкурсе";"1841583";"—"
"36";"2";"—";"290000";"100 94 86";"10000";"Участвует в конкурсе";"1641951";"—"
"37";"4";"—";"290000";"100 94 86";"10000";"Участвует в конкурсе";"2308948";"—"
"38";"9";"—";"290000";"96 90 94";"10000";"Участвует в конкурсе";"1536693";"—"
"39";"11";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"2367660";"—"
"40";"2";"—";"290000";"95 94 91";"10000";"Участвует в конкурсе";"1559828";"—"
"41";"1";"—";"290000";"94 100 86";"10000";"Участвует в конкурсе";"1859882";"—"
"42";"1";"Электронное";"290000";"90 96 94";"10000";"Участвует в конкурсе";"1266483";"—"
"43";"1";"—";"290000";"90 96 94";"10000";"Участвует в конкурсе";"1687503";"—"
"44";"1";"—";"290000";"90 93 97";"10000";"Участвует в конкурсе";"1983588";"—"
"45";"5";"Электронное";"289000";"100 98 81";"10000";"Участвует в конкурсе";"2209914";"—"
"46";"4";"—";"289000";"100 96 83";"10000";"Участвует в конкурсе";"1692484";"—"
"47";"10";"—";"289000";"97 93 89";"10000";"Участвует в конкурсе";"2048852";"—"
"48";"14";"—";"289000";"95 93 91";"10000";"Участвует в конкурсе";"1941747";"—"
"49";"1";"—";"289000";"95 90 94";"10000";"Участвует в конкурсе";"1434449";"—"
"51";"4";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"2180387";"—"
"52";"11";"—";"289000";"80 99 100";"10000";"Участвует в конкурсе";"1899279";"—"
"53";"16";"—";"288000";"96 93 89";"10000";"Участвует в конкурсе";"1344235";"—"
"54";"2";"—";"288000";"90 99 89";"10000";"Участвует в конкурсе";"1420693";"—"
"55";"1";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"1476115";"—"
"56";"2";"—";"288000";"88 90 100";"10000";"Участвует в конкурсе";"1909202";"—"
"57";"10";"—";"287000";"98 98 91";"—";"Участвует в конкурсе";"2126655";"—"
"59";"1";"—";"287000";"95 100 89";"3000";"Участвует в конкурсе";"1650959";"—"
"60";"18";"—";"287000";"98 98 86";"5000";"Участвует в конкурсе";"1204240";"—"
"61";"10";"—";"287000";"98 96 83";"10000";"Участвует в конкурсе";"1309855";"—"
"62";"1";"—";"287000";"96 98 83";"10000";"Участвует в конкурсе";"1172766";"—"
"64";"4";"—";"287000";"92 96 89";"10000";"Участвует в конкурсе";"2389142";"—"
"65";"6";"—";"287000";"90 96 91";"10000";"Участвует в конкурсе";"1431181";"—"
"66";"1";"—";"287000";"88 100 89";"10000";"Участвует в конкурсе";"2043877";"—"
"67";"1";"—";"287000";"88 95 94";"10000";"Участвует в конкурсе";"1499179";"—"
"68";"15";"—";"287000";"86 100 91";"10000";"Участвует в конкурсе";"2410611";"—"
"69";"13";"—";"286000";"95 98 83";"10000";"Участвует в конкурсе";"1997502";"—"
"73";"5";"—";"285000";"94 98 91";"2000";"Участвует в конкурсе";"1357718";"—"
"74";"1";"—";"285000";"98 90 94";"3000";"Участвует в конкурсе";"1605916";"—"
"75";"1";"—";"285000";"100 100 75";"10000";"Участвует в конкурсе";"1099867";"—"
"76";"3";"—";"285000";"100 86 89";"10000";"Участвует в конкурсе";"1419330";"—"
"77";"3";"—";"285000";"96 90 89";"10000";"Участвует в конкурсе";"2088999";"—"
"78";"8";"—";"285000";"94 92 89";"10000";"Участвует в конкурсе";"2166821";"—"
"79";"2";"—";"284000";"97 96 91";"—";"Участвует в конкурсе";"1215960";"—"
"80";"1";"—";"284000";"100 93 81";"10000";"Участвует в конкурсе";"2273228";"—"
"81";"12";"—";"284000";"98 93 83";"10000";"Участвует в конкурсе";"2166891";"—"
"82";"4";"—";"284000";"92 93 89";"10000";"Участвует в конкурсе";"1286413";"—"
"83";"1";"—";"284000";"92 88 94";"10000";"Участвует в конкурсе";"1510585";"—"
"84";"18";"—";"284000";"88 100 86";"10000";"Участвует в конкурсе";"1174226";"—"
"85";"11";"—";"283000";"100 88 89";"6000";"Участвует в конкурсе";"2207543";"—"
"86";"1";"—";"283000";"95 95 83";"10000";"Участвует в конкурсе";"2225690";"—"
"87";"8";"—";"283000";"94 90 89";"10000";"Участвует в конкурсе";"2098954";"—"
"88";"5";"—";"283000";"94 90 89";"10000";"Участвует в конкурсе";"2344657";"—"
"89";"2";"—";"283000";"92 100 81";"10000";"Участвует в конкурсе";"2133857";"—"
"90";"1";"—";"283000";"92 95 86";"10000";"Участвует в конкурсе";"1357188";"—"
"91";"1";"—";"283000";"92 92 89";"10000";"Участвует в конкурсе";"1851453";"—"
"92";"4";"—";"283000";"90 100 83";"10000";"Участвует в конкурсе";"1778973";"—"
"93";"6";"Электронное";"283000";"86 98 89";"10000";"Участвует в конкурсе";"1546562";"—"
"94";"9";"—";"283000";"84 95 94";"10000";"Участвует в конкурсе";"1647262";"—"
"95";"1";"—";"283000";"82 94 97";"10000";"Участвует в конкурсе";"1751984";"—"
"98";"11";"—";"282000";"95 88 89";"10000";"Участвует в конкурсе";"2195901";"—"
"99";"1";"—";"282000";"92 94 86";"10000";"Участвует в конкурсе";"2086356";"—"
"100";"1";"—";"282000";"88 90 94";"10000";"Участвует в конкурсе";"2173140";"—"
"101";"2";"—";"282000";"86 95 91";"10000";"Участвует в конкурсе";"1207168";"—"
"102";"1";"—";"282000";"84 88 100";"10000";"Участвует в конкурсе";"2161306";"—"
"103";"2";"—";"281000";"96 85 97";"3000";"Участвует в конкурсе";"1303003";"—"
"104";"12";"—";"281000";"96 100 75";"10000";"Участвует в конкурсе";"1364581";"—"
"105";"1";"—";"281000";"96 94 81";"10000";"Участвует в конкурсе";"1301500";"—"
"106";"5";"—";"281000";"94 96 81";"10000";"Участвует в конкурсе";"1636663";"—"
"107";"1";"—";"281000";"94 94 83";"10000";"Участвует в конкурсе";"1728945";"—"
"108";"2";"Электронное";"281000";"92 88 91";"10000";"Участвует в конкурсе";"1820793";"—"
"109";"6";"—";"281000";"90 95 86";"10000";"Участвует в конкурсе";"2222914";"—"
"110";"1";"—";"281000";"90 92 89";"10000";"Участвует в конкурсе";"1789641";"—"
"111";"2";"—";"281000";"88 94 89";"10000";"Участвует в конкурсе";"2051753";"—"
"112";"1";"—";"281000";"86 96 89";"10000";"Участвует в конкурсе";"1262491";"—"
"113";"1";"Электронное";"281000";"86 96 89";"10000";"Участвует в конкурсе";"1470362";"—"
"115";"1";"—";"280000";"96 98 86";"—";"Участвует в конкурсе";"1580852";"—"
"116";"2";"—";"280000";"90 96 94";"—";"Участвует в конкурсе";"1983098";"—"
"117";"13";"—";"280000";"90 98 83";"9000";"Участвует в конкурсе";"1263605";"—"
"118";"3";"—";"280000";"95 75 100";"10000";"Участвует в конкурсе";"1446548";"—"
"119";"1";"—";"280000";"94 90 86";"10000";"Участвует в конкурсе";"1461377";"—"
"120";"2";"—";"280000";"92 92 86";"10000";"Участвует в конкурсе";"1120302";"—"
"121";"4";"—";"280000";"90 94 86";"10000";"Участвует в конкурсе";"1142550";"—"
"122";"5";"—";"280000";"88 88 94";"10000";"Участвует в конкурсе";"2179070";"—"
"123";"2";"—";"280000";"86 98 86";"10000";"Участвует в конкурсе";"1916837";"—"
"125";"3";"—";"280000";"84 100 86";"10000";"Участвует в конкурсе";"1198445";"—"
"127";"2";"—";"280000";"84 95 91";"10000";"Участвует в конкурсе";"997913";"—"
"128";"5";"—";"280000";"84 95 91";"10000";"Участвует в конкурсе";"2132908";"—"
"129";"5";"—";"279000";"86 100 91";"2000";"Участвует в конкурсе";"1616562";"—"
"130";"4";"—";"279000";"96 94 86";"3000";"Участвует в конкурсе";"1839783";"—"
"131";"1";"—";"279000";"92 94 83";"10000";"Участвует в конкурсе";"1504545";"—"
"132";"11";"—";"279000";"92 94 83";"10000";"Участвует в конкурсе";"2064255";"—"
"133";"5";"—";"279000";"92 88 89";"10000";"Участвует в конкурсе";"1983223";"—"
"134";"2";"—";"279000";"90 88 91";"10000";"Участвует в конкурсе";"2004669";"—"
"135";"4";"—";"279000";"90 85 94";"10000";"Участвует в конкурсе";"969169";"—"
"136";"1";"—";"279000";"88 100 81";"10000";"Участвует в конкурсе";"976343";"—"
"137";"2";"—";"279000";"88 98 83";"10000";"Участвует в конкурсе";"1841699";"—"
"138";"7";"—";"279000";"88 90 91";"10000";"Участвует в конкурсе";"1502595";"—"
"139";"1";"—";"279000";"86 94 89";"10000";"Участвует в конкурсе";"2040456";"—"
"140";"1";"—";"279000";"86 86 97";"10000";"Участвует в конкурсе";"1613993";"—"
"141";"11";"—";"279000";"82 90 97";"10000";"Участвует в конкурсе";"1279320";"—"
"142";"1";"—";"279000";"76 96 97";"10000";"Участвует в конкурсе";"1554391";"—"
"143";"1";"—";"278000";"97 92 86";"3000";"Участвует в конкурсе";"1208683";"—"
"144";"7";"—";"278000";"92 92 91";"3000";"Участвует в конкурсе";"1729816";"—"
"145";"19";"—";"278000";"100 93 75";"10000";"Участвует в конкурсе";"2001541";"—"
"146";"10";"—";"278000";"94 96 78";"10000";"Участвует в конкурсе";"1214674";"—"
"147";"7";"Электронное";"278000";"94 85 89";"10000";"Участвует в конкурсе";"1909232";"—"
"148";"7";"—";"278000";"92 93 83";"10000";"Участвует в конкурсе";"1854408";"—"
"149";"4";"—";"278000";"92 90 86";"10000";"Участвует в конкурсе";"1338718";"—"
"150";"3";"—";"278000";"92 85 91";"10000";"Участвует в конкурсе";"1309348";"—"
"151";"15";"—";"278000";"90 100 78";"10000";"Участвует в конкурсе";"1345181";"—"
"152";"4";"—";"278000";"90 92 86";"10000";"Участвует в конкурсе";"2255614";"—"
"155";"1";"—";"278000";"86 85 97";"10000";"Участвует в конкурсе";"1615768";"—"
"156";"2";"—";"278000";"84 98 86";"10000";"Участвует в конкурсе";"1360644";"—"
"157";"1";"—";"278000";"84 98 86";"10000";"Участвует в конкурсе";"2363519";"—"
"158";"2";"—";"278000";"82 92 94";"10000";"Участвует в конкурсе";"2247681";"—"
"160";"1";"—";"277000";"97 94 83";"3000";"Участвует в конкурсе";"2000473";"—"
"161";"25";"—";"277000";"95 98 81";"3000";"Участвует в конкурсе";"1194103";"—"
"162";"1";"—";"277000";"94 95 83";"5000";"Участвует в конкурсе";"1952036";"—"
"163";"1";"—";"277000";"94 92 86";"5000";"Участвует в конкурсе";"1959339";"—"
"164";"5";"—";"277000";"96 93 78";"10000";"Участвует в конкурсе";"1178497";"—"
"165";"1";"—";"277000";"96 80 91";"10000";"Участвует в конкурсе";"1358461";"—"
"166";"4";"—";"277000";"90 94 83";"10000";"Участвует в конкурсе";"1577713";"—"
"167";"6";"Электронное";"277000";"90 94 83";"10000";"Участвует в конкурсе";"2210217";"—"
"168";"5";"—";"277000";"90 86 91";"10000";"Участвует в конкурсе";"1483057";"—"
"169";"1";"Электронное";"277000";"88 93 86";"10000";"Участвует в конкурсе";"1212927";"—"
"170";"3";"—";"277000";"88 93 86";"10000";"Участвует в конкурсе";"2244929";"—"
"171";"20";"Электронное";"277000";"88 90 89";"10000";"Участвует в конкурсе";"1326258";"—"
"172";"1";"—";"277000";"88 90 89";"10000";"Участвует в конкурсе";"1211050";"—"
"173";"14";"—";"277000";"88 85 94";"10000";"Участвует в конкурсе";"1584455";"—"
"174";"2";"—";"277000";"88 82 97";"10000";"Участвует в конкурсе";"2244812";"—"
"175";"6";"—";"277000";"86 95 86";"10000";"Участвует в конкурсе";"2130301";"—"
"176";"10";"—";"277000";"84 100 83";"10000";"Участвует в конкурсе";"1419921";"—"
"177";"8";"—";"276000";"96 97 83";"—";"Участвует в конкурсе";"2082865";"—"
"178";"3";"—";"276000";"84 96 94";"2000";"Участвует в конкурсе";"1341738";"—"
"179";"8";"—";"276000";"97 90 86";"3000";"Участвует в конкурсе";"2130633";"—"
"180";"7";"—";"276000";"95 100 78";"3000";"Участвует в конкурсе";"2026153";"—"
"181";"5";"—";"276000";"94 88 91";"3000";"Участвует в конкурсе";"1958153";"—"
"182";"1";"—";"276000";"86 96 91";"3000";"Участвует в конкурсе";"1514349";"—"
"183";"14";"—";"276000";"97 88 81";"10000";"Участвует в конкурсе";"1511576";"—"
"184";"2";"—";"276000";"94 86 86";"10000";"Участвует в конкурсе";"1989731";"—"
"185";"8";"—";"276000";"94 83 89";"10000";"Участвует в конкурсе";"1797231";"—"
"186";"24";"—";"276000";"92 83 91";"10000";"Участвует в конкурсе";"2174175";"—"
"187";"2";"—";"276000";"90 82 94";"10000";"Участвует в конкурсе";"2047687";"—"
"188";"1";"—";"276000";"88 92 86";"10000";"Участвует в конкурсе";"1600604";"—"
"189";"4";"—";"276000";"86 97 83";"10000";"Участвует в конкурсе";"1790597";"—"
"190";"6";"—";"276000";"86 80 100";"10000";"Участвует в конкурсе";"1590400";"—"
"191";"3";"—";"276000";"80 100 86";"10000";"Участвует в конкурсе";"956362";"—"
"192";"13";"—";"276000";"78 99 89";"10000";"Участвует в конкурсе";"1764931";"—"
"193";"1";"—";"275000";"94 90 91";"—";"Участвует в конкурсе";"1214465";"—"
"194";"2";"—";"275000";"88 90 91";"6000";"Участвует в конкурсе";"2420754";"—"
"195";"3";"—";"275000";"96 94 75";"10000";"Участвует в конкурсе";"2215100";"—"
"196";"5";"—";"275000";"96 80 89";"10000";"Участвует в конкурсе";"1873324";"—"
"197";"3";"—";"275000";"94 96 75";"10000";"Участвует в конкурсе";"1852725";"—"
"198";"2";"—";"275000";"90 94 81";"10000";"Участвует в конкурсе";"1915233";"—"
"199";"1";"—";"275000";"90 92 83";"10000";"Участвует в конкурсе";"1650969";"—"
"200";"5";"—";"275000";"88 96 81";"10000";"Участвует в конкурсе";"1291968";"—"
"201";"1";"—";"275000";"88 88 89";"10000";"Участвует в конкурсе";"1421672";"—"
"204";"1";"—";"275000";"86 90 89";"10000";"Участвует в конкурсе";"1255904";"—"
"205";"1";"—";"275000";"86 90 89";"10000";"Участвует в конкурсе";"1814974";"—"
"207";"2";"—";"275000";"86 88 91";"10000";"Участвует в конкурсе";"2282462";"—"
"208";"6";"—";"275000";"84 90 91";"10000";"Участвует в конкурсе";"1476067";"—"
"209";"5";"—";"275000";"84 90 91";"10000";"Участвует в конкурсе";"1619961";"—"
"210";"5";"—";"275000";"80 88 97";"10000";"Участвует в конкурсе";"1291770";"—"
"211";"1";"—";"275000";"78 93 94";"10000";"Участвует в конкурсе";"1284782";"—"
"212";"2";"—";"274000";"92 93 89";"—";"Участвует в конкурсе";"986139";"—"
"213";"8";"—";"274000";"98 98 75";"3000";"Участвует в конкурсе";"1714083";"—"
"214";"1";"—";"274000";"94 96 81";"3000";"Участвует в конкурсе";"2138927";"—"
"215";"1";"Электронное";"274000";"88 94 89";"3000";"Участвует в конкурсе";"1652840";"—"
"217";"1";"—";"274000";"99 90 75";"10000";"Участвует в конкурсе";"1999760";"—"
"218";"4";"—";"274000";"95 86 83";"10000";"Участвует в конкурсе";"1199034";"—"
"219";"1";"Электронное";"274000";"90 85 89";"10000";"Участвует в конкурсе";"1985738";"—"
"220";"24";"Электронное";"274000";"88 85 91";"10000";"Участвует в конкурсе";"1620198";"—"
"221";"5";"Электронное";"274000";"88 85 91";"10000";"Участвует в конкурсе";"1501704";"—"
"222";"7";"—";"274000";"84 97 83";"10000";"Участвует в конкурсе";"1224813";"—"
"223";"4";"—";"274000";"84 94 86";"10000";"Участвует в конкурсе";"1641738";"—"
"224";"4";"—";"274000";"82 82 100";"10000";"Участвует в конкурсе";"1715844";"—"
"225";"6";"—";"273000";"97 82 94";"—";"Участвует в конкурсе";"1356512";"—"
"226";"3";"—";"273000";"92 92 89";"—";"Участвует в конкурсе";"1610167";"—"
"227";"4";"—";"273000";"86 96 91";"—";"Участвует в конкурсе";"1264454";"—"
"228";"9";"—";"273000";"92 88 91";"2000";"Участвует в конкурсе";"1786326";"—"
"229";"1";"—";"273000";"84 90 97";"2000";"Участвует в конкурсе";"2351560";"—"
"230";"1";"—";"273000";"100 90 73";"10000";"Участвует в конкурсе";"1651810";"—"
"231";"4";"—";"273000";"92 90 81";"10000";"Участвует в конкурсе";"1384183";"—"
"232";"9";"—";"273000";"92 88 83";"10000";"Участвует в конкурсе";"1279866";"—"
"233";"7";"Электронное";"273000";"90 100 73";"10000";"Участвует в конкурсе";"1726358";"—"
"234";"7";"—";"273000";"88 94 81";"10000";"Участвует в конкурсе";"1198554";"—"
"235";"4";"—";"273000";"84 90 89";"10000";"Участвует в конкурсе";"1369994";"—"
"236";"1";"—";"273000";"84 90 89";"10000";"Участвует в конкурсе";"1618132";"—"
"237";"1";"—";"273000";"82 98 83";"10000";"Участвует в конкурсе";"1798756";"—"
"238";"5";"Электронное";"273000";"80 97 86";"10000";"Участвует в конкурсе";"1510345";"—"
"239";"4";"—";"273000";"78 91 94";"10000";"Участвует в конкурсе";"1716824";"—"
"240";"12";"—";"273000";"78 91 94";"10000";"Участвует в конкурсе";"1925689";"—"
"241";"2";"—";"273000";"76 96 91";"10000";"Участвует в конкурсе";"1713372";"—"
"242";"9";"—";"272000";"88 90 91";"3000";"Участвует в конкурсе";"1475486";"—"
"243";"3";"—";"272000";"84 94 86";"8000";"Участвует в конкурсе";"1164203";"—"
"244";"1";"—";"272000";"92 84 86";"10000";"Участвует в конкурсе";"1798017";"—"
"245";"2";"—";"272000";"88 96 78";"10000";"Участвует в конкурсе";"1413718";"—"
"246";"5";"Электронное";"272000";"88 88 86";"10000";"Участвует в конкурсе";"1915560";"—"
"247";"14";"—";"272000";"88 83 91";"10000";"Участвует в конкурсе";"2099917";"—"
"248";"4";"—";"272000";"86 90 86";"10000";"Участвует в конкурсе";"1725161";"—"
"249";"6";"—";"272000";"86 90 86";"10000";"Участвует в конкурсе";"1725705";"—"
"251";"25";"—";"272000";"86 85 91";"10000";"Участвует в конкурсе";"1639351";"—"
"252";"1";"—";"272000";"86 82 94";"10000";"Участвует в конкурсе";"1267068";"—"
"253";"1";"—";"272000";"86 82 94";"10000";"Участвует в конкурсе";"1212395";"—"
"254";"4";"—";"272000";"84 100 78";"10000";"Участвует в конкурсе";"1552160";"—"
"255";"3";"—";"272000";"82 91 89";"10000";"Участвует в конкурсе";"1652582";"—"
"256";"1";"—";"272000";"76 92 94";"10000";"Участвует в конкурсе";"2196382";"—"
"257";"1";"—";"271000";"76 100 86";"9000";"Участвует в конкурсе";"1708248";"—"
"258";"4";"—";"271000";"98 90 73";"10000";"Участвует в конкурсе";"1639180";"—"
"259";"1";"—";"271000";"94 92 75";"10000";"Участвует в конкурсе";"1262369";"—"
"260";"5";"—";"271000";"92 80 89";"10000";"Участвует в конкурсе";"1715555";"—"
"261";"1";"—";"271000";"90 88 83";"10000";"Участвует в конкурсе";"1678924";"—"
"262";"9";"—";"271000";"88 95 78";"10000";"Участвует в конкурсе";"1778270";"—"
"263";"1";"—";"271000";"86 92 83";"10000";"Участвует в конкурсе";"2137314";"—"
"264";"7";"—";"271000";"86 92 83";"10000";"Участвует в конкурсе";"1293038";"—"
"265";"4";"Электронное";"271000";"84 91 86";"10000";"Участвует в конкурсе";"1565561";"—"
"266";"1";"Электронное";"271000";"84 80 97";"10000";"Участвует в конкурсе";"2003193";"—"
"267";"4";"—";"271000";"82 96 83";"10000";"Участвует в конкурсе";"2099441";"—"
"268";"7";"—";"271000";"82 90 89";"10000";"Участвует в конкурсе";"1652117";"—"
"269";"4";"—";"271000";"82 85 94";"10000";"Участвует в конкурсе";"1174784";"—"
"270";"1";"—";"271000";"80 92 89";"10000";"Участвует в конкурсе";"1700812";"—"
"271";"1";"—";"271000";"76 88 97";"10000";"Участвует в конкурсе";"1997383";"—"
"272";"5";"—";"270000";"99 98 73";"—";"Участвует в конкурсе";"1030411";"—"
"274";"6";"—";"270000";"88 93 86";"3000";"Участвует в конкурсе";"1491900";"—"
"275";"4";"—";"270000";"92 100 69";"9000";"Участвует в конкурсе";"1070647";"—"
"276";"3";"—";"270000";"92 85 83";"10000";"Участвует в конкурсе";"1626042";"—"
"277";"6";"—";"270000";"92 82 86";"10000";"Участвует в конкурсе";"1169826";"—"
"278";"5";"Электронное";"270000";"88 90 82";"10000";"Участвует в конкурсе";"2260519";"—"
"279";"5";"—";"270000";"88 78 94";"10000";"Участвует в конкурсе";"1265931";"—"
"280";"2";"—";"270000";"86 93 81";"10000";"Участвует в конкурсе";"2154625";"—"
"281";"6";"—";"270000";"86 83 91";"10000";"Участвует в конкурсе";"2315646";"—"
"282";"2";"Электронное";"270000";"84 98 78";"10000";"Участвует в конкурсе";"1900886";"—"
"283";"6";"—";"270000";"84 98 78";"10000";"Участвует в конкурсе";"1646300";"—"
"284";"1";"—";"270000";"84 95 81";"10000";"Участвует в конкурсе";"1290017";"—"
"285";"6";"—";"270000";"84 93 83";"10000";"Участвует в конкурсе";"1610874";"—"
"286";"1";"—";"270000";"82 84 94";"10000";"Участвует в конкурсе";"2075786";"—"
"287";"13";"—";"270000";"78 93 89";"10000";"Участвует в конкурсе";"1285589";"—"
"288";"4";"Электронное";"270000";"74 95 91";"10000";"Участвует в конкурсе";"1181548";"—"
"289";"3";"—";"269000";"80 95 91";"3000";"Участвует в конкурсе";"1586140";"—"
"290";"3";"—";"269000";"88 94 78";"9000";"Участвует в конкурсе";"1584220";"—"
"291";"6";"Электронное";"269000";"100 95 64";"10000";"Участвует в конкурсе";"1895742";"—"
"292";"11";"—";"269000";"98 88 73";"10000";"Участвует в конкурсе";"1878356";"—"
"293";"6";"—";"269000";"98 80 81";"10000";"Участвует в конкурсе";"2217310";"—"
"294";"1";"—";"269000";"94 92 73";"10000";"Участвует в конкурсе";"1069098";"—"
"295";"4";"—";"269000";"94 84 81";"10000";"Участвует в конкурсе";"1521427";"—"
"296";"5";"Электронное";"269000";"90 80 89";"10000";"Участвует в конкурсе";"2046362";"—"
"297";"5";"—";"269000";"90 80 89";"10000";"Участвует в конкурсе";"2038863";"—"
"299";"10";"—";"269000";"88 85 86";"10000";"Участвует в конкурсе";"2177984";"—"
"300";"8";"—";"269000";"88 77 94";"10000";"Участвует в конкурсе";"1344867";"—"
"301";"28";"Электронное";"269000";"86 90 83";"10000";"Участвует в конкурсе";"1616900";"—"
"302";"2";"—";"269000";"86 84 89";"10000";"Участвует в конкурсе";"1979079";"—"
"303";"4";"—";"269000";"84 84 91";"10000";"Участвует в конкурсе";"1979104";"—"
"304";"2";"Электронное";"269000";"82 86 91";"10000";"Участвует в конкурсе";"1285400";"—"
"305";"1";"—";"269000";"80 88 91";"10000";"Участвует в конкурсе";"1638774";"—"
"306";"5";"—";"268000";"92 90 86";"—";"Участвует в конкурсе";"1796297";"—"
"307";"1";"Электронное";"268000";"90 92 86";"—";"Участвует в конкурсе";"1938665";"—"
"308";"2";"—";"268000";"80 91 97";"—";"Участвует в конкурсе";"1158791";"—"
"310";"5";"Электронное";"268000";"86 90 89";"3000";"Участвует в конкурсе";"1981438";"—"
"311";"1";"—";"268000";"76 95 94";"3000";"Участвует в конкурсе";"1633279";"—"
"312";"21";"—";"268000";"95 85 83";"5000";"Участвует в конкурсе";"1712625";"—"
"313";"3";"—";"268000";"88 86 89";"5000";"Участвует в конкурсе";"1190359";"—"
"314";"9";"Электронное";"268000";"86 85 89";"8000";"Участвует в конкурсе";"1610460";"—"
"315";"1";"—";"268000";"95 80 83";"10000";"Участвует в конкурсе";"2309332";"—"
"316";"2";"—";"268000";"90 93 75";"10000";"Участвует в конкурсе";"1673633";"—"
"318";"1";"—";"268000";"88 79 91";"10000";"Участвует в конкурсе";"1106385";"—"
"319";"1";"—";"268000";"86 86 86";"10000";"Участвует в конкурсе";"1916066";"—"
"322";"5";"—";"268000";"84 88 86";"10000";"Участвует в конкурсе";"1214130";"—"
"323";"5";"Электронное";"268000";"84 83 91";"10000";"Участвует в конкурсе";"1997244";"—"
"324";"1";"—";"268000";"84 77 97";"10000";"Участвует в конкурсе";"2179273";"—"
"325";"1";"—";"268000";"80 84 94";"10000";"Участвует в конкурсе";"1253965";"—"
"327";"1";"—";"267000";"90 96 81";"—";"Участвует в конкурсе";"1713283";"—"
"328";"6";"—";"267000";"88 88 91";"—";"Участвует в конкурсе";"2362049";"—"
"330";"10";"Электронное";"267000";"80 93 91";"3000";"Участвует в конкурсе";"1346028";"—"
"331";"4";"—";"267000";"84 100 78";"5000";"Участвует в конкурсе";"1500996";"—"
"332";"1";"—";"267000";"92 80 89";"6000";"Участвует в конкурсе";"1290930";"—"
"333";"3";"—";"267000";"88 85 86";"8000";"Участвует в конкурсе";"2003989";"—"
"334";"6";"—";"267000";"74 88 97";"8000";"Участвует в конкурсе";"1647785";"—"
"335";"2";"—";"267000";"95 84 78";"10000";"Участвует в конкурсе";"1521255";"—"
"336";"2";"—";"267000";"94 90 73";"10000";"Участвует в конкурсе";"1180726";"—"
