"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"Электронное";"244";"241";"3";"Участвуете в конкурсе";"1911263";"—"
"2";"2";"—";"243";"233";"10";"Участвуете в конкурсе";"1983616";"—"
"3";"5";"—";"237";"237";"0";"Участвуете в конкурсе";"1200161";"—"
"2";"1";"Электронное";"225";"215";"10";"Участвуете в конкурсе";"1914077";"—"
"5";"3";"Электронное";"216";"216";"0";"Участвуете в конкурсе";"2414042";"—"
"3";"6";"Электронное";"205";"205";"0";"Участвуете в конкурсе";"2137462";"—"
"4";"1";"Электронное";"187";"185";"2";"Участвуете в конкурсе";"2235462";"—"
"8";"1";"—";"180";"180";"0";"Участвуете в конкурсе";"1625043";"—"
"5";"1";"Электронное";"177";"177";"0";"Участвуете в конкурсе";"2291733";"—"
"10";"1";"—";"288";"278";"10";"Участвуете в конкурсе";"1956992";"—"
"11";"1";"—";"270";"260";"10";"Участвуете в конкурсе";"2093762";"—"
"12";"1";"—";"266";"256";"10";"Участвуете в конкурсе";"2119866";"—"
"13";"1";"—";"264";"254";"10";"Участвуете в конкурсе";"1943832";"—"
"14";"7";"—";"254";"244";"10";"Участвуете в конкурсе";"1161200";"—"
"15";"2";"—";"252";"242";"10";"Участвуете в конкурсе";"1788807";"—"
"16";"2";"—";"248";"238";"10";"Участвуете в конкурсе";"1363354";"—"
"17";"12";"—";"243";"243";"0";"Участвуете в конкурсе";"1914936";"—"
"18";"4";"—";"243";"241";"2";"Участвуете в конкурсе";"1347384";"—"
"19";"1";"—";"239";"239";"0";"Участвуете в конкурсе";"1630766";"—"
"20";"3";"—";"239";"239";"0";"Участвуете в конкурсе";"1513059";"—"
"21";"2";"—";"238";"238";"0";"Участвуете в конкурсе";"2076974";"—"
"22";"4";"—";"235";"235";"0";"Участвуете в конкурсе";"1026084";"—"
"23";"5";"—";"235";"225";"10";"Участвуете в конкурсе";"2295417";"—"
"24";"2";"—";"231";"221";"10";"Участвуете в конкурсе";"1797579";"—"
"25";"1";"—";"231";"221";"10";"Участвуете в конкурсе";"1433440";"—"
"26";"14";"—";"229";"219";"10";"Участвуете в конкурсе";"1387203";"—"
"27";"4";"—";"228";"228";"0";"Участвуете в конкурсе";"2285078";"—"
"28";"11";"—";"226";"216";"10";"Участвуете в конкурсе";"2245367";"—"
"29";"5";"Электронное";"225";"222";"3";"Участвуете в конкурсе";"1829252";"—"
"30";"2";"—";"221";"221";"0";"Участвуете в конкурсе";"1879625";"—"
"31";"3";"—";"221";"221";"0";"Участвуете в конкурсе";"1245826";"—"
"32";"3";"—";"219";"219";"0";"Участвуете в конкурсе";"1583545";"—"
"33";"3";"—";"219";"217";"2";"Участвуете в конкурсе";"1939618";"—"
"34";"2";"—";"218";"211";"7";"Участвуете в конкурсе";"1891661";"—"
"35";"5";"—";"213";"213";"0";"Участвуете в конкурсе";"1288148";"—"
"36";"13";"—";"212";"212";"0";"Участвуете в конкурсе";"2081384";"—"
"37";"12";"—";"209";"209";"0";"Участвуете в конкурсе";"1197919";"—"
"38";"4";"—";"207";"207";"0";"Участвуете в конкурсе";"1838048";"—"
"39";"3";"—";"204";"202";"2";"Участвуете в конкурсе";"1764818";"—"
"40";"4";"—";"202";"202";"0";"Участвуете в конкурсе";"1798041";"—"
"41";"12";"—";"202";"202";"0";"Участвуете в конкурсе";"1542885";"—"
"42";"9";"—";"199";"197";"2";"Участвуете в конкурсе";"1896953";"—"
"43";"6";"—";"199";"196";"3";"Участвуете в конкурсе";"1364407";"—"
"44";"3";"—";"197";"195";"2";"Участвуете в конкурсе";"1825481";"—"
"45";"3";"—";"192";"192";"0";"Участвуете в конкурсе";"1228209";"—"
"46";"7";"—";"192";"182";"10";"Участвуете в конкурсе";"1360272";"—"
"47";"3";"—";"184";"184";"0";"Участвуете в конкурсе";"2390415";"—"
"48";"3";"—";"183";"181";"2";"Участвуете в конкурсе";"1437530";"—"
"49";"6";"Электронное";"177";"177";"0";"Участвуете в конкурсе";"1689010";"—"
"50";"4";"—";"10";"0";"10";"Участвуете в конкурсе";"1221160";"—"
"51";"3";"—";"10";"0";"10";"Участвуете в конкурсе";"1276112";"—"
"52";"7";"—";"10";"0";"10";"Участвуете в конкурсе";"1963316";"—"
"53";"2";"—";"2";"0";"2";"Участвуете в конкурсе";"1291256";"—"
"54";"2";"—";"2";"0";"2";"Участвуете в конкурсе";"1335635";"—"
"1";"1";"Электронное";"0";"0";"0";"Участвуете в конкурсе";"1212460";"—"
"56";"2";"—";"0";"0";"0";"Участвуете в конкурсе";"1287113";"—"
"57";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"1417367";"—"
"58";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"1752383";"—"
"59";"2";"—";"0";"0";"0";"Участвуете в конкурсе";"1888987";"—"
"60";"2";"—";"0";"0";"0";"Участвуете в конкурсе";"1890510";"—"
"61";"2";"Электронное";"0";"0";"0";"Участвуете в конкурсе";"2005718";"—"
"62";"10";"Электронное";"284";"274";"10";"Участвуете в конкурсе";"1779294";"—"
"63";"4";"—";"269";"267";"2";"Участвуете в конкурсе";"1994386";"—"
"64";"6";"—";"269";"259";"10";"Участвуете в конкурсе";"2210603";"—"
"65";"5";"—";"269";"259";"10";"Участвуете в конкурсе";"1197099";"—"
"66";"4";"—";"268";"258";"10";"Участвуете в конкурсе";"1507947";"—"
"67";"5";"—";"265";"255";"10";"Участвуете в конкурсе";"1551735";"—"
"68";"2";"—";"260";"250";"10";"Участвуете в конкурсе";"986726";"—"
"69";"3";"—";"249";"249";"0";"Участвуете в конкурсе";"1167362";"—"
"70";"5";"—";"248";"238";"10";"Участвуете в конкурсе";"1402084";"—"
"71";"3";"—";"246";"246";"0";"Участвуете в конкурсе";"1707980";"—"
"72";"10";"—";"245";"235";"10";"Участвуете в конкурсе";"1287737";"—"
"73";"1";"—";"244";"244";"0";"Участвуете в конкурсе";"2096503";"—"
"74";"4";"—";"243";"233";"10";"Участвуете в конкурсе";"1957515";"—"
"75";"4";"—";"242";"232";"10";"Участвуете в конкурсе";"1639802";"—"
"76";"3";"—";"239";"239";"0";"Участвуете в конкурсе";"1084724";"—"
"77";"2";"—";"239";"232";"7";"Участвуете в конкурсе";"1120139";"—"
"78";"3";"Электронное";"239";"229";"10";"Участвуете в конкурсе";"2041435";"—"
"79";"7";"—";"237";"237";"0";"Участвуете в конкурсе";"2266109";"—"
"80";"2";"—";"237";"234";"3";"Участвуете в конкурсе";"1196706";"—"
"81";"2";"—";"235";"225";"10";"Участвуете в конкурсе";"2365734";"—"
"82";"14";"Электронное";"233";"233";"0";"Участвуете в конкурсе";"2227952";"—"
"83";"7";"—";"233";"223";"10";"Участвуете в конкурсе";"2245692";"—"
"84";"1";"—";"232";"232";"0";"Участвуете в конкурсе";"1314273";"—"
"85";"12";"—";"232";"227";"5";"Участвуете в конкурсе";"1556614";"—"
"86";"3";"—";"232";"222";"10";"Участвуете в конкурсе";"1256115";"—"
"87";"2";"—";"231";"229";"2";"Участвуете в конкурсе";"1391267";"—"
"88";"3";"—";"230";"220";"10";"Участвуете в конкурсе";"2340549";"—"
"89";"2";"—";"230";"220";"10";"Участвуете в конкурсе";"2371771";"—"
"90";"6";"—";"229";"229";"0";"Участвуете в конкурсе";"2151118";"—"
"91";"11";"—";"229";"219";"10";"Участвуете в конкурсе";"1323253";"—"
"92";"3";"—";"227";"225";"2";"Участвуете в конкурсе";"1197757";"—"
"93";"7";"—";"222";"220";"2";"Участвуете в конкурсе";"939270";"—"
"94";"3";"—";"221";"219";"2";"Участвуете в конкурсе";"1786124";"—"
"95";"6";"—";"220";"220";"0";"Участвуете в конкурсе";"1516368";"—"
"96";"1";"—";"220";"218";"2";"Участвуете в конкурсе";"1953899";"—"
"97";"5";"—";"220";"218";"2";"Участвуете в конкурсе";"1603596";"—"
"98";"5";"—";"218";"208";"10";"Участвуете в конкурсе";"1793418";"—"
"99";"6";"—";"217";"217";"0";"Участвуете в конкурсе";"1581356";"—"
"100";"2";"—";"216";"216";"0";"Участвуете в конкурсе";"1622801";"—"
"101";"4";"—";"216";"206";"10";"Участвуете в конкурсе";"1605082";"—"
"102";"1";"—";"215";"213";"2";"Участвуете в конкурсе";"2093329";"—"
"103";"2";"—";"215";"213";"2";"Участвуете в конкурсе";"1139904";"—"
"104";"5";"—";"214";"204";"10";"Участвуете в конкурсе";"1185979";"—"
"105";"1";"—";"211";"211";"0";"Участвуете в конкурсе";"1987221";"—"
"106";"2";"—";"211";"209";"2";"Участвуете в конкурсе";"1267274";"—"
"107";"1";"—";"210";"210";"0";"Участвуете в конкурсе";"1433745";"—"
"108";"1";"—";"210";"210";"0";"Участвуете в конкурсе";"1646526";"—"
"109";"3";"—";"209";"209";"0";"Участвуете в конкурсе";"1321692";"—"
"110";"6";"—";"208";"206";"2";"Участвуете в конкурсе";"1992677";"—"
"111";"5";"—";"207";"207";"0";"Участвуете в конкурсе";"1310121";"—"
"112";"3";"—";"207";"205";"2";"Участвуете в конкурсе";"1244989";"—"
"113";"2";"—";"206";"203";"3";"Участвуете в конкурсе";"2219910";"—"
"114";"8";"—";"205";"203";"2";"Участвуете в конкурсе";"1979084";"—"
"115";"1";"—";"204";"201";"3";"Участвуете в конкурсе";"1728330";"—"
"116";"2";"—";"203";"203";"0";"Участвуете в конкурсе";"1332373";"—"
"117";"2";"—";"202";"202";"0";"Участвуете в конкурсе";"1279460";"—"
"118";"2";"—";"202";"198";"4";"Участвуете в конкурсе";"1086127";"—"
"119";"3";"—";"201";"198";"3";"Участвуете в конкурсе";"1170813";"—"
"120";"1";"—";"196";"196";"0";"Участвуете в конкурсе";"949170";"—"
"121";"5";"—";"195";"195";"0";"Участвуете в конкурсе";"1837385";"—"
"122";"2";"—";"194";"187";"7";"Участвуете в конкурсе";"2203673";"—"
