"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"294000";"100 93 91";"10000";"Участвует в конкурсе";"1121847";"—"
"2";"1";"—";"291000";"100 90 91";"10000";"Участвует в конкурсе";"1859008";"—"
"3";"1";"—";"290000";"96 90 94";"10000";"Участвует в конкурсе";"1538710";"—"
"4";"3";"—";"289000";"100 88 91";"10000";"Участвует в конкурсе";"1516325";"—"
"5";"4";"—";"289000";"90 98 91";"10000";"Участвует в конкурсе";"1819874";"—"
"6";"10";"—";"286000";"100 95 81";"10000";"Участвует в конкурсе";"1640345";"—"
"7";"4";"—";"286000";"94 88 94";"10000";"Участвует в конкурсе";"2013903";"—"
"8";"3";"—";"286000";"94 88 94";"10000";"Участвует в конкурсе";"1901421";"—"
"9";"4";"—";"284000";"99 75 100";"10000";"Участвует в конкурсе";"1000006";"—"
"10";"8";"—";"284000";"95 93 86";"10000";"Участвует в конкурсе";"2262047";"—"
"11";"1";"—";"284000";"84 93 97";"10000";"Участвует в конкурсе";"1792138";"—"
"12";"1";"—";"283000";"97 95 81";"10000";"Участвует в конкурсе";"1482172";"—"
"13";"3";"—";"283000";"92 95 86";"10000";"Участвует в конкурсе";"1963000";"—"
"14";"2";"—";"282000";"95 80 97";"10000";"Участвует в конкурсе";"1656860";"—"
"16";"3";"—";"281000";"100 90 91";"—";"Участвует в конкурсе";"969017";"—"
"17";"6";"—";"281000";"90 95 86";"10000";"Участвует в конкурсе";"2222914";"—"
"18";"1";"—";"281000";"90 90 91";"10000";"Участвует в конкурсе";"1363291";"—"
"19";"5";"—";"280000";"88 98 91";"3000";"Участвует в конкурсе";"1201093";"—"
"20";"3";"—";"280000";"94 85 91";"10000";"Участвует в конкурсе";"1513888";"—"
"21";"6";"—";"280000";"88 85 97";"10000";"Участвует в конкурсе";"1912233";"—"
"23";"1";"—";"279000";"92 80 97";"10000";"Участвует в конкурсе";"1519451";"—"
"24";"9";"—";"279000";"88 95 86";"10000";"Участвует в конкурсе";"2170924";"—"
"25";"1";"—";"279000";"88 90 91";"10000";"Участвует в конкурсе";"1502595";"—"
"26";"6";"—";"278000";"92 93 83";"10000";"Участвует в конкурсе";"1552281";"—"
"27";"4";"—";"277000";"96 85 86";"10000";"Участвует в конкурсе";"1978764";"—"
"28";"4";"—";"277000";"90 83 94";"10000";"Участвует в конкурсе";"1565127";"—"
"29";"1";"—";"277000";"88 88 91";"10000";"Участвует в конкурсе";"1984207";"—"
"30";"2";"—";"277000";"86 90 91";"10000";"Участвует в конкурсе";"1619219";"—"
"31";"1";"—";"276000";"94 83 89";"10000";"Участвует в конкурсе";"1797231";"—"
"33";"3";"—";"275000";"86 88 91";"10000";"Участвует в конкурсе";"2255189";"—"
"34";"5";"—";"274000";"100 80 91";"3000";"Участвует в конкурсе";"2005440";"—"
"35";"6";"—";"274000";"100 78 86";"10000";"Участвует в конкурсе";"1366772";"—"
"36";"1";"—";"274000";"92 83 89";"10000";"Участвует в конкурсе";"1433428";"—"
"37";"3";"—";"274000";"92 83 89";"10000";"Участвует в конкурсе";"962175";"—"
"38";"2";"—";"274000";"92 78 94";"10000";"Участвует в конкурсе";"1835377";"—"
"39";"5";"—";"273000";"99 88 86";"—";"Участвует в конкурсе";"1025573";"—"
"40";"11";"—";"273000";"92 88 91";"2000";"Участвует в конкурсе";"1786326";"—"
"41";"2";"—";"273000";"88 88 94";"3000";"Участвует в конкурсе";"1208477";"—"
"42";"3";"—";"273000";"92 83 91";"7000";"Участвует в конкурсе";"2101374";"—"
"43";"3";"—";"273000";"94 88 81";"10000";"Участвует в конкурсе";"1895911";"—"
"44";"1";"—";"272000";"90 92 90";"—";"Участвует в конкурсе";"1880541";"—"
"45";"1";"—";"272000";"92 88 89";"3000";"Участвует в конкурсе";"1423007";"—"
"46";"3";"—";"272000";"98 88 78";"8000";"Участвует в конкурсе";"1639375";"—"
"47";"3";"—";"272000";"90 83 91";"8000";"Участвует в конкурсе";"1396209";"—"
"48";"3";"—";"272000";"90 83 89";"10000";"Участвует в конкурсе";"1197146";"—"
"49";"5";"—";"272000";"88 80 94";"10000";"Участвует в конкурсе";"1983072";"—"
"50";"2";"—";"272000";"88 80 94";"10000";"Участвует в конкурсе";"2228558";"—"
"51";"4";"—";"271000";"98 85 86";"2000";"Участвует в конкурсе";"2370518";"—"
"52";"5";"—";"271000";"88 90 83";"10000";"Участвует в конкурсе";"1257640";"—"
"53";"3";"—";"271000";"84 80 97";"10000";"Участвует в конкурсе";"2003193";"—"
"54";"3";"—";"270000";"94 88 78";"10000";"Участвует в конкурсе";"2209562";"—"
"56";"4";"—";"270000";"86 80 94";"10000";"Участвует в конкурсе";"1122763";"—"
"57";"2";"—";"269000";"99 95 75";"—";"Участвует в конкурсе";"1084924";"—"
"58";"2";"—";"269000";"88 90 91";"—";"Участвует в конкурсе";"2001203";"—"
"59";"2";"—";"269000";"100 95 64";"10000";"Участвует в конкурсе";"1895742";"—"
"60";"5";"—";"269000";"88 88 83";"10000";"Участвует в конкурсе";"1638481";"—"
"61";"4";"—";"269000";"82 83 94";"10000";"Участвует в конкурсе";"1716765";"—"
"63";"2";"—";"268000";"86 90 89";"3000";"Участвует в конкурсе";"1981438";"—"
"64";"3";"—";"268000";"90 85 83";"10000";"Участвует в конкурсе";"1830381";"—"
"65";"1";"—";"267000";"94 90 73";"10000";"Участвует в конкурсе";"1180726";"—"
"66";"4";"—";"267000";"94 85 78";"10000";"Участвует в конкурсе";"1520829";"—"
"67";"3";"—";"267000";"86 90 81";"10000";"Участвует в конкурсе";"1637109";"—"
"68";"1";"—";"266000";"90 83 83";"10000";"Участвует в конкурсе";"1371267";"—"
"69";"4";"—";"266000";"90 83 83";"10000";"Участвует в конкурсе";"2211744";"—"
"70";"6";"—";"266000";"84 78 94";"10000";"Участвует в конкурсе";"1983774";"—"
"72";"4";"—";"265000";"97 90 78";"—";"Участвует в конкурсе";"1215337";"—"
"73";"5";"—";"265000";"84 88 91";"2000";"Участвует в конкурсе";"2181076";"—"
"74";"1";"—";"265000";"94 90 78";"3000";"Участвует в конкурсе";"2050853";"—"
"75";"4";"—";"265000";"90 83 89";"3000";"Участвует в конкурсе";"1767346";"—"
"76";"2";"—";"264000";"86 90 78";"10000";"Участвует в конкурсе";"1446044";"—"
"77";"8";"—";"263000";"98 93 72";"—";"Участвует в конкурсе";"2031579";"—"
"78";"1";"—";"263000";"94 75 91";"3000";"Участвует в конкурсе";"1478166";"—"
"79";"4";"—";"263000";"92 80 83";"8000";"Участвует в конкурсе";"1608642";"—"
"80";"5";"—";"263000";"90 80 83";"10000";"Участвует в конкурсе";"1599498";"—"
"81";"5";"—";"263000";"86 78 89";"10000";"Участвует в конкурсе";"2240853";"—"
"82";"4";"—";"263000";"84 83 86";"10000";"Участвует в конкурсе";"1849763";"—"
"83";"8";"—";"263000";"84 80 89";"10000";"Участвует в конкурсе";"2100692";"—"
"84";"3";"—";"263000";"82 85 86";"10000";"Участвует в конкурсе";"1556815";"—"
"85";"1";"—";"263000";"82 80 91";"10000";"Участвует в конкурсе";"1791667";"—"
"87";"1";"—";"262000";"88 83 81";"10000";"Участвует в конкурсе";"1420859";"—"
"88";"1";"—";"262000";"86 80 86";"10000";"Участвует в конкурсе";"1582962";"—"
"89";"2";"—";"262000";"86 72 94";"10000";"Участвует в конкурсе";"1279988";"—"
"90";"5";"—";"261000";"92 88 75";"6000";"Участвует в конкурсе";"2272054";"—"
"91";"1";"—";"260000";"86 85 89";"—";"Участвует в конкурсе";"2178110";"—"
"92";"3";"—";"260000";"84 85 91";"—";"Участвует в конкурсе";"1821225";"—"
"93";"1";"—";"260000";"86 83 81";"10000";"Участвует в конкурсе";"1361012";"—"
"94";"3";"—";"260000";"86 83 81";"10000";"Участвует в конкурсе";"1613840";"—"
"95";"1";"—";"260000";"84 83 83";"10000";"Участвует в конкурсе";"1860530";"—"
"96";"3";"—";"259000";"96 85 78";"—";"Участвует в конкурсе";"1358516";"—"
"97";"3";"—";"259000";"90 83 86";"—";"Участвует в конкурсе";"1690637";"—"
"98";"1";"—";"259000";"86 80 91";"2000";"Участвует в конкурсе";"2171440";"—"
"99";"4";"—";"259000";"86 78 89";"6000";"Участвует в конкурсе";"831162";"—"
"100";"1";"—";"259000";"88 88 73";"10000";"Участвует в конкурсе";"2256562";"—"
"101";"1";"—";"259000";"88 75 86";"10000";"Участвует в конкурсе";"1395531";"—"
"102";"5";"—";"258000";"92 83 83";"—";"Участвует в конкурсе";"1203945";"—"
"103";"3";"—";"258000";"84 80 91";"3000";"Участвует в конкурсе";"1655029";"—"
"104";"3";"—";"258000";"88 85 78";"7000";"Участвует в конкурсе";"1462343";"—"
"105";"3";"—";"258000";"98 75 75";"10000";"Участвует в конкурсе";"1204562";"—"
"106";"1";"—";"258000";"82 80 86";"10000";"Участвует в конкурсе";"2240027";"—"
"107";"2";"—";"257000";"88 88 81";"—";"Участвует в конкурсе";"1636577";"—"
"108";"4";"—";"257000";"86 83 78";"10000";"Участвует в конкурсе";"1998950";"—"
"109";"4";"—";"257000";"86 80 81";"10000";"Участвует в конкурсе";"1797720";"—"
"110";"1";"—";"257000";"86 80 81";"10000";"Участвует в конкурсе";"2179170";"—"
"111";"5";"—";"257000";"84 80 83";"10000";"Участвует в конкурсе";"2255972";"—"
"113";"2";"—";"256000";"82 75 89";"10000";"Участвует в конкурсе";"1132644";"—"
"114";"1";"—";"255000";"88 78 89";"—";"Участвует в конкурсе";"1514960";"—"
"115";"4";"—";"255000";"88 78 89";"—";"Участвует в конкурсе";"1168168";"—"
"116";"12";"—";"255000";"98 83 72";"2000";"Участвует в конкурсе";"1963061";"—"
"117";"2";"—";"255000";"84 83 78";"10000";"Участвует в конкурсе";"1253493";"—"
"118";"2";"—";"255000";"84 78 83";"10000";"Участвует в конкурсе";"2263988";"—"
"119";"2";"—";"255000";"84 78 83";"10000";"Участвует в конкурсе";"2240164";"—"
"120";"1";"—";"255000";"82 85 78";"10000";"Участвует в конкурсе";"1711939";"—"
"121";"2";"—";"255000";"74 88 83";"10000";"Участвует в конкурсе";"1344213";"—"
"122";"2";"—";"255000";"74 88 83";"10000";"Участвует в конкурсе";"2332650";"—"
"123";"2";"—";"254000";"86 85 83";"—";"Участвует в конкурсе";"1537412";"—"
"124";"1";"—";"254000";"80 88 86";"—";"Участвует в конкурсе";"1074869";"—"
"125";"6";"—";"254000";"88 78 86";"2000";"Участвует в конкурсе";"1564091";"—"
"126";"12";"—";"254000";"88 93 69";"4000";"Участвует в конкурсе";"1401229";"—"
"127";"1";"—";"254000";"94 80 70";"10000";"Участвует в конкурсе";"2167087";"—"
"129";"1";"—";"253000";"84 78 91";"—";"Участвует в конкурсе";"1256604";"—"
"130";"1";"—";"253000";"74 98 81";"—";"Участвует в конкурсе";"2220679";"—"
"131";"1";"—";"253000";"86 90 75";"2000";"Участвует в конкурсе";"1431262";"—"
"132";"1";"—";"253000";"84 80 86";"3000";"Участвует в конкурсе";"2295582";"—"
"133";"2";"—";"253000";"88 85 70";"10000";"Участвует в конкурсе";"1767630";"—"
"134";"2";"—";"253000";"86 85 72";"10000";"Участвует в конкурсе";"991472";"—"
"135";"3";"—";"253000";"82 80 81";"10000";"Участвует в конкурсе";"2233058";"—"
